categoria,atributo,valor,atributo_complementario,complemento
Computadores,procesador_principal,AMD 3015Ce,nucleos_procesador,2
Computadores,procesador_principal,AMD 3015Ce,hilos_procesador,4
Computadores,procesador_principal,AMD 3015e,nucleos_procesador,2
Computadores,procesador_principal,AMD 3015e,hilos_procesador,4
Computadores,procesador_principal,AMD 3020e,nucleos_procesador,2
Computadores,procesador_principal,AMD 3020e,hilos_procesador,2
Computadores,procesador_principal,AMD 4700S,nucleos_procesador,8
Computadores,procesador_principal,AMD 4700S,hilos_procesador,16
Computadores,procesador_principal,AMD A10 Micro-6700T APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A10 Micro-6700T APU,hilos_procesador,4
Computadores,procesador_principal,AMD A4 Micro-6400T APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A4 Micro-6400T APU,hilos_procesador,4
Computadores,procesador_principal,AMD A4-1200 APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-1200 APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-1250 APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-1250 APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3300 APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3300 APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3300M APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3300M APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3305M APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3305M APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3310MX APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3310MX APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3320M APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3320M APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3330MX APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3330MX APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3400 APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3400 APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-3420 APU,nucleos_procesador,2
Computadores,procesador_principal,AMD A4-3420 APU,hilos_procesador,2
Computadores,procesador_principal,AMD A4-5000 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A4-5000 APU,hilos_procesador,4
Computadores,procesador_principal,AMD A4-5050 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A4-5050 APU,hilos_procesador,4
Computadores,procesador_principal,AMD A4-5100 APU,nucleos_procesador,4
